Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation,mixed_type_col
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife,301
excellent,male,general,no,two,cbse,cbse,english,excellent,excellent,others,house_wife,933
excellent,male,general,wa,two,cbse,cbse,english,excellent,vg,engineer,house_wife,662
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,doctor,college_teacher,138
excellent,male,general,wa,two,seba,ahsec,others,good,good,school_teacher,school_teacher,139
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,bank_official,house_wife,117
none,female,general,oa,one,others,cbse,english,excellent,excellent,business,house_wife,304
excellent,male,sc,oa,two,cbse,cbse,english,excellent,excellent,others,house_wife,68
excellent,male,sc,wa,two,seba,ahsec,others,excellent,vg,others,house_wife,unknown
excellent,female,general,no,two,cbse,none,english,excellent,excellent,college_teacher,school_teacher,765
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,school_teacher,873
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,others,bad
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,doctor,doctor,unknown
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife,695
none,male,obc,wa,two,seba,cbse,english,excellent,excellent,engineer,house_wife,943
excellent,female,general,wa,three,seba,ahsec,others,vg,vg,others,house_wife,53
excellent,female,general,wa,two,others,cbse,english,excellent,excellent,engineer,house_wife,904
excellent,male,sc,oa,two,seba,ahsec,english,good,good,business,house_wife,723
excellent,male,general,wa,three,seba,ahsec,assamese,excellent,good,college_teacher,house_wife,386
excellent,male,general,no,two,cbse,cbse,english,excellent,good,bank_official,house_wife,448
excellent,male,general,oa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife,438
excellent,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,business,house_wife,bad
excellent,male,general,wa,two,seba,ahsec,others,excellent,excellent,others,house_wife,230
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,doctor,school_teacher,295
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife,5
excellent,male,general,wa,two,none,ahsec,english,excellent,excellent,engineer,college_teacher,bad
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,others,476
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,engineer,house_wife,329
excellent,male,obc,wa,one,seba,ahsec,assamese,average,average,business,others,176
excellent,male,none,no,two,cbse,ahsec,english,excellent,excellent,others,house_wife,969
excellent,male,obc,no,one,cbse,cbse,english,excellent,excellent,others,house_wife,bad
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,bad
excellent,female,general,oa,two,cbse,cbse,english,excellent,excellent,others,house_wife,722
excellent,male,obc,wa,two,seba,ahsec,others,good,good,others,house_wife,372
excellent,male,general,wa,one,others,others,english,excellent,good,others,others,215
excellent,male,obc,oa,two,others,others,others,vg,vg,business,house_wife,673
excellent,male,general,wa,three,seba,ahsec,assamese,vg,good,others,school_teacher,770
excellent,male,general,oa,two,cbse,cbse,english,excellent,vg,school_teacher,school_teacher,none
excellent,male,general,wa,one,cbse,cbse,english,excellent,excellent,others,college_teacher,none
excellent,female,general,wa,three,seba,ahsec,others,excellent,excellent,school_teacher,house_wife,2
excellent,male,general,oa,two,cbse,cbse,english,excellent,excellent,others,house_wife,637
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,doctor,others,618
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,others,school_teacher,412
excellent,female,general,wa,two,cbse,cbse,english,excellent,vg,others,house_wife,243
excellent,male,general,oa,one,seba,cbse,english,excellent,excellent,doctor,house_wife,none
excellent,male,general,oa,two,cbse,cbse,english,excellent,excellent,others,house_wife,none
excellent,male,general,wa,one,others,cbse,english,excellent,excellent,doctor,house_wife,272
excellent,female,obc,wa,two,seba,cbse,english,excellent,excellent,school_teacher,house_wife,706
excellent,male,general,no,one,seba,ahsec,others,average,good,others,house_wife,481
excellent,male,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,none
excellent,female,obc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,648
excellent,female,general,wa,one,none,cbse,english,excellent,excellent,others,school_teacher,368
excellent,male,general,oa,two,seba,cbse,english,excellent,excellent,engineer,house_wife,152
excellent,male,general,wa,two,seba,ahsec,others,good,excellent,cultivator,house_wife,167
excellent,male,general,oa,two,seba,cbse,english,excellent,excellent,business,house_wife,939
excellent,male,general,wa,three,seba,cbse,english,vg,good,others,others,505
excellent,female,general,wa,two,seba,ahsec,assamese,good,average,school_teacher,school_teacher,417
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,engineer,none,unknown
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,721
excellent,male,general,oa,two,seba,ahsec,english,excellent,excellent,engineer,house_wife,912
excellent,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,others,unknown
excellent,male,general,no,one,cbse,cbse,english,vg,vg,others,house_wife,534
excellent,female,obc,wa,one,seba,ahsec,english,excellent,excellent,others,college_teacher,475
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher,865
vg,female,general,wa,two,seba,cbse,english,excellent,excellent,doctor,doctor,856
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,none
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,bank_official,bank_official,964
vg,male,general,wa,none,cbse,cbse,english,excellent,vg,bank_official,house_wife,827
vg,male,general,no,one,others,cbse,english,excellent,excellent,others,college_teacher,846
vg,female,general,wa,one,cbse,cbse,english,vg,vg,business,house_wife,56
vg,male,general,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife,130
vg,male,general,wa,two,seba,ahsec,others,vg,excellent,business,house_wife,none
vg,female,general,wa,none,seba,ahsec,english,excellent,excellent,others,house_wife,bad
vg,male,general,no,one,seba,cbse,english,good,good,others,house_wife,bad
vg,male,general,wa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife,82
vg,female,general,wa,one,cbse,cbse,english,nan,excellent,others,school_teacher,31
vg,male,general,wa,four,cbse,cbse,english,vg,vg,college_teacher,college_teacher,none
vg,male,general,wa,three,seba,ahsec,english,excellent,excellent,business,house_wife,918
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,school_teacher,school_teacher,721
vg,female,obc,wa,three,seba,ahsec,english,vg,vg,engineer,house_wife,none
vg,male,general,wa,three,cbse,cbse,english,excellent,excellent,others,house_wife,292
vg,male,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,house_wife,625
vg,male,general,wa,three,seba,ahsec,others,excellent,good,school_teacher,house_wife,bad
vg,male,general,no,one,cbse,cbse,english,excellent,excellent,college_teacher,house_wife,532
vg,female,obc,wa,two,others,cbse,english,excellent,excellent,engineer,house_wife,856
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,others,house_wife,569
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,school_teacher,bad
vg,female,general,wa,two,seba,ahsec,english,good,vg,college_teacher,house_wife,638
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,doctor,house_wife,bad
vg,female,obc,oa,two,cbse,cbse,english,excellent,excellent,business,business,826
vg,male,obc,wa,two,seba,ahsec,others,excellent,excellent,others,others,498
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,college_teacher,none,596
vg,male,general,no,three,seba,ahsec,others,vg,vg,cultivator,house_wife,975
vg,female,obc,wa,three,cbse,ahsec,english,excellent,vg,school_teacher,house_wife,748
vg,male,general,wa,two,seba,ahsec,others,good,vg,business,house_wife,502
vg,none,general,no,one,seba,ahsec,english,excellent,excellent,doctor,doctor,280
vg,male,sc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,905
vg,female,general,no,two,cbse,cbse,english,excellent,excellent,others,house_wife,none
vg,female,general,wa,two,none,ahsec,assamese,excellent,excellent,school_teacher,house_wife,bad
vg,male,general,wa,two,seba,ahsec,others,excellent,excellent,school_teacher,house_wife,31
vg,male,general,no,one,cbse,cbse,english,excellent,excellent,others,school_teacher,115
vg,female,obc,no,two,cbse,cbse,english,excellent,excellent,others,house_wife,386
vg,female,general,wa,two,cbse,ahsec,english,excellent,excellent,others,house_wife,159
vg,male,general,wa,two,seba,ahsec,english,excellent,vg,business,house_wife,882
vg,male,obc,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife,914
vg,male,obc,no,one,cbse,cbse,english,excellent,excellent,others,college_teacher,180
vg,male,obc,wa,one,seba,ahsec,others,excellent,excellent,school_teacher,house_wife,829
vg,female,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher,none
vg,female,general,wa,two,seba,ahsec,english,excellent,excellent,others,college_teacher,787
vg,male,obc,no,one,cbse,cbse,english,excellent,excellent,business,house_wife,365
vg,male,general,wa,three,cbse,cbse,english,vg,vg,others,house_wife,40
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,school_teacher,house_wife,428
vg,female,general,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife,822
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,college_teacher,college_teacher,933
vg,male,general,wa,three,cbse,cbse,english,vg,good,school_teacher,house_wife,none
vg,female,general,no,one,cbse,cbse,english,excellent,excellent,others,house_wife,836
vg,female,general,oa,three,cbse,cbse,english,excellent,good,others,house_wife,293
vg,male,general,wa,two,seba,none,assamese,excellent,vg,college_teacher,school_teacher,464
vg,female,general,wa,one,others,cbse,english,excellent,excellent,doctor,doctor,unknown
vg,male,general,oa,one,others,others,english,vg,excellent,college_teacher,school_teacher,bad
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,others,house_wife,unknown
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,doctor,others,642
vg,female,obc,oa,two,cbse,cbse,english,excellent,excellent,others,house_wife,727
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,engineer,house_wife,873
vg,female,sc,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife,bad
vg,none,general,wa,two,seba,cbse,english,good,good,school_teacher,house_wife,none
vg,male,general,no,one,seba,ahsec,english,excellent,excellent,others,house_wife,bad
vg,male,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,488
vg,male,general,wa,three,seba,ahsec,english,excellent,vg,business,school_teacher,none
vg,female,general,wa,two,seba,ahsec,others,excellent,good,others,school_teacher,unknown
vg,male,sc,no,one,seba,ahsec,english,excellent,excellent,business,school_teacher,661
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,8
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,792
vg,female,general,no,three,seba,ahsec,english,excellent,vg,others,house_wife,705
vg,male,obc,no,one,cbse,ahsec,english,excellent,excellent,school_teacher,house_wife,815
vg,male,general,oa,two,cbse,cbse,english,excellent,excellent,others,school_teacher,118
vg,male,obc,wa,two,seba,ahsec,others,excellent,vg,business,house_wife,unknown
vg,male,general,no,one,seba,ahsec,others,excellent,excellent,school_teacher,house_wife,bad
vg,male,general,no,one,cbse,ahsec,english,excellent,excellent,engineer,house_wife,none
vg,male,sc,wa,two,cbse,cbse,english,excellent,vg,school_teacher,house_wife,696
vg,male,obc,wa,three,seba,ahsec,english,excellent,excellent,school_teacher,house_wife,656
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,college_teacher,32
vg,male,general,oa,two,cbse,cbse,english,excellent,excellent,business,house_wife,bad
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,school_teacher,house_wife,448
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife,none
vg,female,obc,wa,two,seba,ahsec,english,vg,vg,college_teacher,house_wife,684
vg,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,others,house_wife,74
vg,female,general,wa,one,seba,ahsec,english,excellent,excellent,business,house_wife,none
vg,male,general,wa,two,seba,ahsec,english,excellent,excellent,cultivator,house_wife,62
vg,female,obc,wa,two,cbse,cbse,english,excellent,excellent,others,others,none
vg,none,general,wa,two,cbse,cbse,english,excellent,excellent,doctor,doctor,216
vg,female,general,wa,three,seba,ahsec,others,vg,vg,others,house_wife,974
vg,female,obc,oa,three,seba,ahsec,english,good,vg,others,house_wife,153
vg,female,general,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,bad
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,222
vg,male,obc,wa,two,seba,ahsec,english,excellent,vg,others,house_wife,none
vg,male,obc,no,four,seba,ahsec,others,vg,vg,business,house_wife,none
vg,male,obc,wa,one,cbse,cbse,english,excellent,excellent,doctor,house_wife,391
vg,female,general,wa,two,seba,ahsec,others,none,excellent,school_teacher,house_wife,unknown
vg,male,general,wa,one,cbse,cbse,english,excellent,excellent,others,school_teacher,unknown
vg,female,general,wa,two,seba,ahsec,english,excellent,vg,business,school_teacher,872
vg,male,obc,oa,two,seba,cbse,english,vg,excellent,business,house_wife,none
vg,female,general,wa,two,seba,ahsec,english,vg,vg,others,house_wife,518
vg,male,general,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife,303
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,others,261
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,others,others,bad
vg,male,general,no,one,seba,ahsec,english,excellent,excellent,engineer,school_teacher,608
vg,female,obc,wa,three,seba,ahsec,english,excellent,excellent,school_teacher,others,908
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,433
vg,female,general,wa,two,seba,cbse,english,excellent,excellent,business,house_wife,485
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife,unknown
vg,male,general,wa,one,cbse,cbse,english,excellent,excellent,business,house_wife,bad
vg,male,general,wa,one,seba,ahsec,english,excellent,excellent,doctor,house_wife,200
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,others,524
vg,female,general,wa,two,seba,ahsec,english,vg,vg,others,house_wife,bad
vg,female,obc,wa,none,cbse,cbse,english,excellent,excellent,others,others,760
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,29
vg,female,sc,oa,two,seba,cbse,english,excellent,vg,others,bank_official,unknown
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,bank_official,house_wife,none
vg,female,general,wa,four,cbse,cbse,english,excellent,vg,bank_official,bank_official,23
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,business,others,630
vg,female,st,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,bad
vg,female,general,wa,one,seba,ahsec,english,excellent,excellent,bank_official,house_wife,360
vg,male,general,wa,three,seba,ahsec,others,vg,vg,others,house_wife,336
none,female,general,oa,two,cbse,cbse,english,excellent,excellent,others,school_teacher,none
vg,male,obc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,917
vg,male,general,wa,two,seba,ahsec,others,excellent,vg,school_teacher,house_wife,461
vg,female,general,wa,two,seba,none,english,excellent,excellent,others,college_teacher,398
vg,male,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife,92
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife,887
vg,male,general,no,one,seba,ahsec,english,excellent,excellent,business,house_wife,314
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife,462
vg,male,obc,no,one,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher,unknown
vg,female,general,wa,three,cbse,cbse,english,excellent,excellent,school_teacher,school_teacher,288
vg,female,sc,wa,two,seba,ahsec,assamese,excellent,vg,others,others,553
vg,male,obc,wa,three,seba,ahsec,others,vg,vg,cultivator,cultivator,900
vg,male,general,wa,two,seba,ahsec,others,excellent,excellent,others,house_wife,328
vg,male,obc,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher,bad
vg,female,general,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,875
vg,male,obc,wa,three,seba,ahsec,others,vg,excellent,school_teacher,school_teacher,360
vg,male,obc,wa,two,seba,ahsec,others,excellent,excellent,cultivator,school_teacher,unknown
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,business,business,44
vg,male,general,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife,907
vg,male,general,wa,three,seba,ahsec,assamese,good,good,none,house_wife,none
vg,female,sc,wa,two,seba,ahsec,english,excellent,excellent,bank_official,school_teacher,215
vg,male,st,no,two,seba,ahsec,english,average,average,others,house_wife,unknown
vg,female,general,wa,three,seba,cbse,english,excellent,excellent,business,house_wife,unknown
vg,female,general,no,one,seba,ahsec,english,vg,excellent,doctor,school_teacher,none
vg,female,sc,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife,704
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife,unknown
vg,female,general,no,one,seba,none,english,excellent,excellent,engineer,engineer,none
vg,male,obc,wa,none,cbse,cbse,english,excellent,vg,others,others,307
vg,male,obc,no,four,cbse,cbse,english,excellent,vg,others,house_wife,unknown
vg,female,general,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,65
vg,female,obc,oa,one,cbse,cbse,english,excellent,none,others,house_wife,unknown
vg,female,obc,wa,one,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher,264
vg,male,obc,no,one,cbse,cbse,english,excellent,excellent,doctor,others,89
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,engineer,college_teacher,408
vg,male,obc,wa,three,seba,ahsec,english,vg,vg,others,house_wife,none
vg,female,general,no,one,seba,ahsec,others,excellent,excellent,doctor,doctor,992
vg,male,obc,wa,two,cbse,cbse,english,excellent,vg,others,house_wife,661
vg,female,obc,no,three,cbse,cbse,english,excellent,excellent,doctor,house_wife,392
vg,female,general,wa,two,seba,ahsec,english,excellent,vg,business,house_wife,bad
vg,male,general,wa,two,seba,ahsec,assamese,excellent,vg,others,house_wife,89
vg,male,general,wa,two,seba,ahsec,english,good,good,business,house_wife,386
vg,female,sc,no,two,cbse,cbse,english,excellent,excellent,engineer,others,581
vg,female,sc,no,one,cbse,cbse,english,none,excellent,bank_official,house_wife,20
vg,male,general,wa,two,seba,ahsec,others,excellent,vg,others,house_wife,919
vg,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher,515
vg,female,obc,no,two,seba,ahsec,english,excellent,excellent,others,house_wife,bad
vg,male,obc,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife,bad
vg,female,obc,wa,two,seba,ahsec,english,vg,excellent,others,house_wife,836
vg,male,general,no,one,cbse,ahsec,english,excellent,excellent,school_teacher,school_teacher,366
vg,female,general,wa,two,seba,ahsec,english,excellent,vg,others,house_wife,928
vg,male,general,wa,two,seba,ahsec,english,excellent,vg,engineer,house_wife,none
vg,male,obc,oa,one,cbse,cbse,english,excellent,excellent,engineer,engineer,636
vg,female,general,wa,two,seba,ahsec,none,vg,vg,business,house_wife,203
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,others,none
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,doctor,doctor,192
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife,33
vg,male,obc,oa,two,cbse,cbse,english,excellent,good,others,house_wife,439
vg,male,general,wa,one,cbse,cbse,english,excellent,excellent,none,house_wife,834
vg,male,general,wa,three,seba,ahsec,others,excellent,vg,school_teacher,house_wife,921
vg,female,general,wa,two,others,ahsec,english,excellent,vg,college_teacher,house_wife,bad
vg,male,general,wa,three,seba,ahsec,others,vg,vg,cultivator,house_wife,553
vg,female,general,wa,three,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher,916
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,engineer,unknown
vg,male,general,wa,two,cbse,cbse,english,excellent,vg,bank_official,house_wife,unknown
vg,male,general,oa,two,cbse,cbse,english,excellent,vg,others,house_wife,180
vg,male,general,wa,three,cbse,cbse,english,excellent,vg,others,house_wife,unknown
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,bank_official,house_wife,316
vg,male,general,wa,two,cbse,cbse,english,excellent,vg,business,house_wife,195
vg,male,general,wa,two,cbse,ahsec,english,excellent,excellent,business,house_wife,369
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,business,school_teacher,603
vg,female,obc,no,one,cbse,cbse,english,vg,good,business,school_teacher,unknown
vg,female,general,wa,two,cbse,cbse,english,excellent,vg,others,school_teacher,none
vg,male,general,wa,two,seba,ahsec,others,excellent,vg,others,house_wife,330
vg,male,sc,wa,one,seba,ahsec,english,vg,excellent,others,house_wife,596
vg,nan,sc,wa,one,others,ahsec,english,excellent,excellent,engineer,house_wife,bad
vg,male,general,wa,none,seba,ahsec,english,vg,excellent,engineer,house_wife,675
vg,female,obc,no,one,cbse,ahsec,english,excellent,excellent,others,house_wife,141
vg,male,general,wa,one,seba,ahsec,english,vg,excellent,others,house_wife,347
good,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,648
good,female,general,wa,three,seba,ahsec,assamese,excellent,vg,school_teacher,house_wife,216
good,male,sc,none,two,seba,cbse,others,vg,good,others,house_wife,unknown
good,male,general,no,one,seba,ahsec,others,excellent,nan,school_teacher,school_teacher,321
good,male,general,wa,three,seba,ahsec,assamese,vg,vg,school_teacher,school_teacher,678
good,female,general,no,one,cbse,cbse,english,excellent,excellent,others,house_wife,bad
good,male,general,no,two,seba,ahsec,others,excellent,none,others,house_wife,129
good,male,sc,oa,two,cbse,cbse,english,excellent,excellent,others,others,unknown
good,female,obc,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife,194
good,female,general,wa,one,others,cbse,english,excellent,excellent,engineer,doctor,741
good,male,obc,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife,566
good,male,general,wa,two,seba,ahsec,others,average,good,school_teacher,house_wife,none
good,male,obc,wa,two,cbse,cbse,english,excellent,excellent,school_teacher,house_wife,unknown
good,female,general,wa,two,seba,cbse,english,excellent,vg,bank_official,house_wife,none
good,male,general,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher,432
good,female,obc,none,two,seba,ahsec,english,excellent,excellent,others,school_teacher,688
good,female,general,wa,three,cbse,cbse,english,excellent,vg,business,house_wife,none
good,male,obc,oa,four,seba,others,english,vg,none,college_teacher,house_wife,30
good,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife,unknown
good,male,general,oa,two,seba,cbse,english,excellent,excellent,nan,house_wife,335
good,female,general,wa,two,seba,cbse,english,excellent,excellent,bank_official,house_wife,793
good,female,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher,bad
good,female,general,wa,two,cbse,cbse,english,excellent,excellent,business,house_wife,576
good,male,general,wa,three,seba,ahsec,english,good,vg,business,house_wife,360
good,none,obc,wa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife,853
good,male,general,no,two,seba,ahsec,english,excellent,excellent,engineer,college_teacher,unknown
good,male,general,no,two,cbse,cbse,english,excellent,vg,school_teacher,house_wife,896
good,male,general,no,one,seba,ahsec,english,vg,vg,others,house_wife,207
good,female,general,wa,two,seba,cbse,english,good,vg,business,house_wife,bad
good,male,general,no,one,cbse,cbse,english,excellent,excellent,others,house_wife,24
good,male,sc,wa,three,cbse,cbse,english,excellent,excellent,others,house_wife,unknown
good,male,general,oa,one,cbse,cbse,english,excellent,excellent,engineer,house_wife,none
good,female,general,wa,one,seba,ahsec,english,excellent,excellent,bank_official,others,547
good,female,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,school_teacher,unknown
good,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher,597
good,male,general,wa,three,seba,ahsec,others,vg,vg,school_teacher,school_teacher,819
good,female,obc,wa,one,seba,ahsec,english,vg,vg,others,house_wife,27
good,female,general,oa,two,cbse,cbse,english,excellent,vg,engineer,house_wife,526
good,male,obc,no,two,seba,ahsec,english,good,good,others,others,739
good,female,general,none,two,seba,cbse,english,excellent,good,others,house_wife,424
good,male,general,wa,two,seba,cbse,english,excellent,vg,others,house_wife,925
good,female,obc,oa,three,cbse,cbse,english,vg,vg,business,house_wife,662
good,female,general,no,one,seba,ahsec,english,excellent,excellent,doctor,doctor,34
good,female,general,no,one,seba,ahsec,english,excellent,excellent,engineer,house_wife,none
good,male,general,no,one,cbse,ahsec,english,excellent,excellent,others,school_teacher,383
good,male,general,wa,two,seba,ahsec,assamese,excellent,vg,others,house_wife,131
